student_id,semester,department,level,attendance_pct,study_hours_per_week,prev_gpa,ca_score,exam_score,prev_final_score,final_score,score_delta,performance_trend,grade,is_at_risk
1faadcad-3d73-4de6-8335-c41c2e347fd8,1,Sociology,100,82.5,11.3,3.52,39.1,37.8,,76.2,0.0,stable,A,0
1faadcad-3d73-4de6-8335-c41c2e347fd8,2,Sociology,100,98.7,15.8,2.62,37.5,36.9,76.2,73.0,-3.2,stable,A,0
6c01946f-5a40-4ba3-847c-6cb0580b4a8a,1,Computer Science,300,78.6,2.4,1.62,27.9,19.9,,48.7,0.0,stable,D,0
6c01946f-5a40-4ba3-847c-6cb0580b4a8a,2,Computer Science,300,61.4,4.9,4.17,26.1,37.5,48.7,59.4,10.7,improving,C,0
46d3bd2e-96bd-49fb-a72b-bdb3da9beeb9,1,Business Administration,100,66.8,12.6,2.08,30.2,32.1,,61.5,0.0,stable,B,0
46d3bd2e-96bd-49fb-a72b-bdb3da9beeb9,2,Business Administration,100,66.0,21.3,2.99,22.9,54.4,61.5,73.6,12.1,improving,A,0
f0c5778f-942c-45d8-922f-e223af831c47,1,Mechanical Engineering,100,78.1,2.2,1.94,31.6,37.8,,70.0,0.0,stable,B,0
f0c5778f-942c-45d8-922f-e223af831c47,2,Mechanical Engineering,100,73.3,10.5,1.82,26.1,31.5,70.0,60.7,-9.2,declining,B,0
40f338d5-c65d-4201-b4c3-f9bc6c501be1,1,Biology,100,80.2,3.2,3.26,29.1,27.0,,58.0,0.0,stable,C,0
40f338d5-c65d-4201-b4c3-f9bc6c501be1,2,Biology,100,90.5,16.7,2.33,31.5,44.9,58.0,79.3,21.4,improving,A,0
9a020eb1-1af6-4ef8-a436-e806b94bf9b5,1,Sociology,300,67.8,11.1,2.11,22.6,45.3,,71.9,0.0,stable,A,0
9a020eb1-1af6-4ef8-a436-e806b94bf9b5,2,Sociology,300,73.9,17.0,3.29,26.6,47.3,71.9,78.5,6.6,improving,A,0
c7ad9a2a-8118-4b0c-934c-8f4ae49ebcf0,1,Biochemistry,300,74.5,19.8,0.9,34.0,41.8,,74.9,0.0,stable,A,0
c7ad9a2a-8118-4b0c-934c-8f4ae49ebcf0,2,Biochemistry,300,76.4,2.1,2.82,32.1,46.9,74.9,77.4,2.5,stable,A,0
613b9b42-2a01-4a0d-9aac-aad3bcb3b2c6,1,Computer Engineering,300,62.9,9.5,3.73,29.2,33.9,,64.7,0.0,stable,B,0
613b9b42-2a01-4a0d-9aac-aad3bcb3b2c6,2,Computer Engineering,300,76.5,16.8,2.44,28.7,38.0,64.7,62.2,-2.5,stable,B,0
69ea45c7-7b95-4876-b7c6-8e79b08b91e6,1,Law,100,79.4,13.3,3.0,29.7,26.4,,54.8,0.0,stable,C,0
69ea45c7-7b95-4876-b7c6-8e79b08b91e6,2,Law,100,69.9,8.0,2.87,31.0,55.3,54.8,86.8,32.0,improving,A,0
9d7a79c8-1013-494d-9b41-69d10163b623,1,Computer Science,100,78.9,11.6,1.46,30.6,36.8,,74.9,0.0,stable,A,0
9d7a79c8-1013-494d-9b41-69d10163b623,2,Computer Science,100,72.1,13.5,2.97,23.6,52.0,74.9,77.9,3.0,stable,A,0
97ae2dae-697a-48c0-8e92-ac169034edab,1,Mechanical Engineering,100,86.9,7.5,4.12,25.4,44.4,,76.4,0.0,stable,A,0
97ae2dae-697a-48c0-8e92-ac169034edab,2,Mechanical Engineering,100,60.1,9.2,3.08,24.5,22.2,76.4,46.9,-29.5,declining,D,0
a2990e33-a269-4692-954d-22e4599dda13,1,Economics,300,59.1,14.4,2.26,34.6,32.0,,65.6,0.0,stable,B,0
a2990e33-a269-4692-954d-22e4599dda13,2,Economics,300,87.2,5.8,3.18,39.0,19.5,65.6,59.0,-6.6,declining,C,0
df44efff-dd2c-4817-820b-c501a70b6183,1,Computer Science,300,78.9,15.9,2.01,24.2,45.6,,70.7,0.0,stable,A,0
df44efff-dd2c-4817-820b-c501a70b6183,2,Computer Science,300,78.8,13.7,2.46,31.9,42.7,70.7,72.4,1.7,stable,A,0
b586458b-4767-4f7f-a20c-6c318ac82357,1,Mechanical Engineering,300,100.0,14.4,2.05,38.3,29.6,,70.3,0.0,stable,A,0
