student_id,semester,department,level,attendance_pct,study_hours_per_week,prev_gpa,ca_score,exam_score,prev_final_score,final_score,score_delta,performance_trend,grade,is_at_risk
c6f94da8-9551-46c5-80d9-cb78bf42a0ac,0,Sociology,100,82.5,11.3,3.52,39.1,37.8,,76.2,0.0,stable,A,0
c6f94da8-9551-46c5-80d9-cb78bf42a0ac,1,Sociology,100,98.7,15.8,2.62,37.5,36.9,76.2,73.0,-3.2,stable,A,0
c14f618c-2f62-482a-b319-b45d707c5107,0,Computer Science,300,78.6,2.4,1.62,27.9,19.9,,48.7,0.0,stable,D,0
c14f618c-2f62-482a-b319-b45d707c5107,1,Computer Science,300,61.4,4.9,4.17,26.1,37.5,48.7,59.4,10.7,improving,C,0
1dcb2317-bf29-4d68-a92a-1049a50be8f8,0,Mechanical Engineering,200,66.8,12.6,2.08,30.2,32.1,,61.5,0.0,stable,B,0
1dcb2317-bf29-4d68-a92a-1049a50be8f8,1,Mechanical Engineering,200,66.0,21.3,2.99,22.9,54.4,61.5,73.6,12.1,improving,A,0
b096a39d-09f9-4c34-ac2c-0238a5d0db16,0,Electrical Engineering,100,78.1,2.2,1.94,31.6,37.8,,70.0,0.0,stable,B,0
b096a39d-09f9-4c34-ac2c-0238a5d0db16,1,Electrical Engineering,100,73.3,10.5,1.82,26.1,31.5,70.0,60.7,-9.2,declining,B,0
5c615afd-6328-4ba2-b35b-4f42c3c6dd96,0,Sociology,100,80.2,3.2,3.26,29.1,27.0,,58.0,0.0,stable,C,0
5c615afd-6328-4ba2-b35b-4f42c3c6dd96,1,Sociology,100,90.5,16.7,2.33,31.5,44.9,58.0,79.3,21.4,improving,A,0
464c7957-cd52-45c9-a67f-31460fdd1755,0,Psychology,400,67.8,11.1,2.11,22.6,45.3,,71.9,0.0,stable,A,0
464c7957-cd52-45c9-a67f-31460fdd1755,1,Psychology,400,73.9,17.0,3.29,26.6,47.3,71.9,78.5,6.6,improving,A,0
92bcdb4a-5958-4ddb-8b91-25f105a03c4e,0,Computer Science,100,74.5,19.8,0.9,34.0,41.8,,74.9,0.0,stable,A,0
92bcdb4a-5958-4ddb-8b91-25f105a03c4e,1,Computer Science,100,76.4,2.1,2.82,32.1,46.9,74.9,77.4,2.5,stable,A,0
6025eefb-7da8-4df1-a092-b7e65c8e1269,0,Computer Engineering,200,62.9,9.5,3.73,29.2,33.9,,64.7,0.0,stable,B,0
6025eefb-7da8-4df1-a092-b7e65c8e1269,1,Computer Engineering,200,76.5,16.8,2.44,28.7,38.0,64.7,62.2,-2.5,stable,B,0
a153b89b-3f42-4060-9336-6314a091bb1d,0,Mechanical Engineering,100,79.4,13.3,3.0,29.7,26.4,,54.8,0.0,stable,C,0
a153b89b-3f42-4060-9336-6314a091bb1d,1,Mechanical Engineering,100,69.9,8.0,2.87,31.0,55.3,54.8,86.8,32.0,improving,A,0
3e63abee-2234-4fde-96eb-edc63b0712a6,0,Economics,200,78.9,11.6,1.46,30.6,36.8,,74.9,0.0,stable,A,0
3e63abee-2234-4fde-96eb-edc63b0712a6,1,Economics,200,72.1,13.5,2.97,23.6,52.0,74.9,77.9,3.0,stable,A,0
ccf81c59-e36f-444c-b5a5-46e391df1737,0,Biology,400,86.9,7.5,4.12,25.4,44.4,,76.4,0.0,stable,A,0
ccf81c59-e36f-444c-b5a5-46e391df1737,1,Biology,400,60.1,9.2,3.08,24.5,22.2,76.4,46.9,-29.5,declining,D,0
4bf68be2-1814-4302-a416-9d77b2c0d8c4,0,Mechanical Engineering,400,59.1,14.4,2.26,34.6,32.0,,65.6,0.0,stable,B,0
4bf68be2-1814-4302-a416-9d77b2c0d8c4,1,Mechanical Engineering,400,87.2,5.8,3.18,39.0,19.5,65.6,59.0,-6.6,declining,C,0
be6433f0-eb2a-4c8a-a38f-4514e577c698,0,Psychology,300,78.9,15.9,2.01,24.2,45.6,,70.7,0.0,stable,A,0
be6433f0-eb2a-4c8a-a38f-4514e577c698,1,Psychology,300,78.8,13.7,2.46,31.9,42.7,70.7,72.4,1.7,stable,A,0
c598ae03-6d2d-4cfc-9556-d832594722a0,0,Political Science,100,100.0,14.4,2.05,38.3,29.6,,70.3,0.0,stable,A,0
c598ae03-6d2d-4cfc-9556-d832594722a0,1,Political Science,100,92.4,7.9,3.77,35.5,46.4,70.3,87.6,17.4,improving,A,0
04c6fbff-3ebc-4341-9727-0cea621003fc,0,Political Science,200,71.3,8.2,2.29,25.2,34.7,,60.9,0.0,stable,B,0
04c6fbff-3ebc-4341-9727-0cea621003fc,1,Political Science,200,79.2,16.1,3.01,38.1,39.9,60.9,86.2,25.3,improving,A,0
3b41cf25-2585-4675-a84c-65e8329054af,0,Biology,400,84.4,7.7,2.14,34.3,32.6,,69.0,0.0,stable,B,0
3b41cf25-2585-4675-a84c-65e8329054af,1,Biology,400,82.1,11.6,2.32,23.8,33.5,69.0,59.9,-9.1,declining,C,0
fe573d01-7e28-485f-82fc-b5600cfc1c95,0,Medicine,300,78.2,5.8,3.14,32.6,26.6,,59.6,0.0,stable,C,0
fe573d01-7e28-485f-82fc-b5600cfc1c95,1,Medicine,300,75.9,6.3,3.29,33.0,46.9,59.6,83.0,23.4,improving,A,0
f0f7f04a-4a95-4401-83bb-ec748ff2cb96,0,Electrical Engineering,200,54.3,7.3,3.41,28.4,42.2,,82.2,0.0,stable,A,0
f0f7f04a-4a95-4401-83bb-ec748ff2cb96,1,Electrical Engineering,200,83.6,17.7,3.76,35.0,42.0,82.2,79.2,-2.9,stable,A,0
d1ede7e5-51dd-494a-9ba5-76383ed73dc9,0,Political Science,300,63.4,10.8,2.61,28.1,60.0,,82.5,0.0,stable,A,0
d1ede7e5-51dd-494a-9ba5-76383ed73dc9,1,Political Science,300,85.3,3.9,2.62,37.5,33.7,82.5,68.0,-14.5,declining,B,0
0b3b90f7-4c19-460e-ae57-2e92a5c9cc05,0,Computer Engineering,100,64.3,15.4,2.42,28.9,41.3,,68.3,0.0,stable,B,0
0b3b90f7-4c19-460e-ae57-2e92a5c9cc05,1,Computer Engineering,100,100.0,15.2,1.38,35.9,32.0,68.3,70.5,2.2,stable,A,0
526458e8-feca-47e3-a057-5382bb078ccd,0,Law,100,63.1,11.4,3.4,32.0,28.0,,58.9,0.0,stable,C,0
526458e8-feca-47e3-a057-5382bb078ccd,1,Law,100,67.9,8.7,4.41,30.6,27.5,58.9,60.8,1.9,stable,B,0
d3b4eb2f-3003-4a1f-b00f-bbd9cd4583c4,0,Medicine,300,100.0,17.2,1.78,32.6,53.5,,84.0,0.0,stable,A,0
d3b4eb2f-3003-4a1f-b00f-bbd9cd4583c4,1,Medicine,300,81.7,15.9,2.26,31.0,8.4,84.0,36.4,-47.5,declining,F,1
926577e8-d8e8-466d-b810-1fdff15aceb6,0,Psychology,300,71.2,5.8,4.31,22.1,33.3,,55.8,0.0,stable,C,0
926577e8-d8e8-466d-b810-1fdff15aceb6,1,Psychology,300,96.6,4.8,3.93,34.4,26.5,55.8,62.3,6.4,improving,B,0
a88265fb-6e18-4a93-8a0e-caec02402582,0,Political Science,100,78.0,9.0,3.06,28.7,38.7,,69.3,0.0,stable,B,0
a88265fb-6e18-4a93-8a0e-caec02402582,1,Political Science,100,98.8,5.8,4.71,25.0,37.0,69.3,63.8,-5.5,declining,B,0
7ef24149-8c7f-4c6e-aa6c-2e4222cecfc8,0,Biology,400,79.2,8.9,2.83,28.4,31.1,,62.0,0.0,stable,B,0
7ef24149-8c7f-4c6e-aa6c-2e4222cecfc8,1,Biology,400,80.4,8.5,3.72,32.6,46.7,62.0,81.2,19.1,improving,A,0
0665ead9-8395-42df-809d-8d5f68f37e25,0,Economics,100,62.6,9.2,3.6,30.6,38.6,,69.5,0.0,stable,B,0
0665ead9-8395-42df-809d-8d5f68f37e25,1,Economics,100,94.2,9.0,3.44,32.8,36.2,69.5,72.3,2.8,stable,A,0
448f84e6-1742-4bdd-a9f9-78275d97aaa6,0,Biochemistry,400,87.4,16.1,4.04,32.6,51.4,,83.0,0.0,stable,A,0
448f84e6-1742-4bdd-a9f9-78275d97aaa6,1,Biochemistry,400,79.9,11.3,3.08,33.9,31.1,83.0,71.3,-11.7,declining,A,0
acd275db-42e9-4833-acdf-0c109f3bdfd2,0,Computer Engineering,300,59.9,5.9,3.93,30.9,43.3,,76.2,0.0,stable,A,0
acd275db-42e9-4833-acdf-0c109f3bdfd2,1,Computer Engineering,300,74.8,7.5,3.06,26.6,46.2,76.2,72.4,-3.8,stable,A,0
70b0e829-33d4-4279-a227-45bd26d39974,0,Accounting,300,62.6,10.4,3.33,24.7,30.9,,56.3,0.0,stable,C,0
70b0e829-33d4-4279-a227-45bd26d39974,1,Accounting,300,78.7,9.5,2.62,31.9,22.5,56.3,50.2,-6.1,declining,C,0
dbd8979e-5d81-405e-ac46-f910f1fe13b3,0,Psychology,200,64.2,10.9,3.25,35.2,47.9,,82.6,0.0,stable,A,0
dbd8979e-5d81-405e-ac46-f910f1fe13b3,1,Psychology,200,74.7,7.0,2.99,28.5,39.2,82.6,65.2,-17.4,declining,B,0
6bb16537-4a02-4279-93cb-1d2d47db510c,0,Biology,100,82.8,19.7,2.91,33.6,51.8,,84.1,0.0,stable,A,0
6bb16537-4a02-4279-93cb-1d2d47db510c,1,Biology,100,78.4,12.1,3.08,26.8,40.0,84.1,68.3,-15.8,declining,B,0
